Date (GMT+2),Ø
,Speed (m/s)
2022-04-07T03:00+02:00,6.2
2022-04-07T04:00+02:00,6.2
2022-04-07T05:00+02:00,6.3
2022-04-07T06:00+02:00,6.6
2022-04-07T07:00+02:00,6.8
2022-04-07T08:00+02:00,7.2
2022-04-07T09:00+02:00,7.9
2022-04-07T10:00+02:00,8.6
2022-04-07T11:00+02:00,9.1
2022-04-07T12:00+02:00,9.4
2022-04-07T13:00+02:00,9.8
2022-04-07T14:00+02:00,9.9
2022-04-07T15:00+02:00,10.1
2022-04-07T16:00+02:00,10.1
2022-04-07T17:00+02:00,10.1
2022-04-07T18:00+02:00,9.9
2022-04-07T19:00+02:00,9.8
2022-04-07T20:00+02:00,9.3
2022-04-07T21:00+02:00,9
2022-04-07T22:00+02:00,9
2022-04-07T23:00+02:00,8.9
2022-04-08T00:00+02:00,8.8
2022-04-08T01:00+02:00,8.7
2022-04-08T02:00+02:00,8.7
2022-04-08T03:00+02:00,8.6
2022-04-08T04:00+02:00,8.3
2022-04-08T05:00+02:00,7.9
2022-04-08T06:00+02:00,7.3
2022-04-08T07:00+02:00,6.8
2022-04-08T08:00+02:00,6.3
2022-04-08T09:00+02:00,6.2
2022-04-08T10:00+02:00,6.3
2022-04-08T11:00+02:00,6.3
2022-04-08T12:00+02:00,6.1
2022-04-08T13:00+02:00,5.8
2022-04-08T14:00+02:00,5.7
2022-04-08T15:00+02:00,5.7
2022-04-08T16:00+02:00,5.7
2022-04-08T17:00+02:00,5.5
2022-04-08T18:00+02:00,5.3
2022-04-08T19:00+02:00,5.1
2022-04-08T20:00+02:00,4.7
2022-04-08T21:00+02:00,4.4
2022-04-08T22:00+02:00,4.1
2022-04-08T23:00+02:00,3.9
2022-04-09T00:00+02:00,4.1
2022-04-09T01:00+02:00,4.4
2022-04-09T02:00+02:00,4.6
2022-04-09T03:00+02:00,4.9
2022-04-09T04:00+02:00,5
2022-04-09T05:00+02:00,5.1
2022-04-09T06:00+02:00,5.1
2022-04-09T07:00+02:00,5.1
2022-04-09T08:00+02:00,5.2
2022-04-09T09:00+02:00,5.5
2022-04-09T10:00+02:00,6
2022-04-09T11:00+02:00,6.4
2022-04-09T12:00+02:00,6.6
2022-04-09T13:00+02:00,6.8
2022-04-09T14:00+02:00,7
2022-04-09T15:00+02:00,7.1
2022-04-09T16:00+02:00,7
2022-04-09T17:00+02:00,6.9
2022-04-09T18:00+02:00,6.6
2022-04-09T19:00+02:00,6.1
2022-04-09T20:00+02:00,5.3
2022-04-09T21:00+02:00,4.6
2022-04-09T22:00+02:00,4.3
2022-04-09T23:00+02:00,4.3
2022-04-10T00:00+02:00,4.2
2022-04-10T01:00+02:00,4.2
2022-04-10T02:00+02:00,4.2
2022-04-10T03:00+02:00,4.2
2022-04-10T04:00+02:00,4.3
2022-04-10T05:00+02:00,4.3
2022-04-10T06:00+02:00,4.2
2022-04-10T07:00+02:00,4.2
2022-04-10T08:00+02:00,4.2
2022-04-10T09:00+02:00,4.5
2022-04-10T10:00+02:00,5.1
2022-04-10T11:00+02:00,5.5
2022-04-10T12:00+02:00,5.7
2022-04-10T13:00+02:00,5.8
2022-04-10T14:00+02:00,5.8
2022-04-10T15:00+02:00,5.9
2022-04-10T16:00+02:00,5.7
2022-04-10T17:00+02:00,5.4
2022-04-10T18:00+02:00,5
2022-04-10T19:00+02:00,4.5
2022-04-10T20:00+02:00,3.7
2022-04-10T21:00+02:00,2.9
2022-04-10T22:00+02:00,2.8
2022-04-10T23:00+02:00,2.8
2022-04-11T00:00+02:00,2.7
2022-04-11T01:00+02:00,2.6
2022-04-11T02:00+02:00,2.5
2022-04-11T03:00+02:00,2.5
2022-04-11T04:00+02:00,2.5
2022-04-11T05:00+02:00,2.4
2022-04-11T06:00+02:00,2.4
2022-04-11T07:00+02:00,2.4
2022-04-11T08:00+02:00,2.4
2022-04-11T09:00+02:00,2.5
2022-04-11T10:00+02:00,3
2022-04-11T11:00+02:00,3.4
2022-04-11T12:00+02:00,3.6
2022-04-11T13:00+02:00,3.7
2022-04-11T14:00+02:00,3.6
2022-04-11T15:00+02:00,3.5
2022-04-11T16:00+02:00,3.4
2022-04-11T17:00+02:00,3.3
2022-04-11T18:00+02:00,3.2
2022-04-11T19:00+02:00,3.1
2022-04-11T20:00+02:00,2.8
2022-04-11T21:00+02:00,2.5
2022-04-11T22:00+02:00,2.4
2022-04-11T23:00+02:00,2.4
2022-04-12T00:00+02:00,2.4
2022-04-12T01:00+02:00,2.5
2022-04-12T02:00+02:00,2.4
2022-04-12T03:00+02:00,2.4
2022-04-12T04:00+02:00,2.5
2022-04-12T05:00+02:00,2.5
2022-04-12T06:00+02:00,2.5
2022-04-12T07:00+02:00,2.6
2022-04-12T08:00+02:00,2.7
2022-04-12T09:00+02:00,2.9
2022-04-12T10:00+02:00,3.4
2022-04-12T11:00+02:00,3.9
2022-04-12T12:00+02:00,4.4
2022-04-12T13:00+02:00,4.7
2022-04-12T14:00+02:00,4.8
2022-04-12T15:00+02:00,4.8
2022-04-12T16:00+02:00,4.9
2022-04-12T17:00+02:00,4.8
2022-04-12T18:00+02:00,4.7
2022-04-12T19:00+02:00,4.4
2022-04-12T20:00+02:00,3.8
2022-04-12T21:00+02:00,3.5
2022-04-12T22:00+02:00,3.3
2022-04-12T23:00+02:00,3.2
2022-04-13T00:00+02:00,3
2022-04-13T01:00+02:00,2.9
2022-04-13T02:00+02:00,2.9
2022-04-13T03:00+02:00,2.8
2022-04-13T04:00+02:00,2.7
2022-04-13T05:00+02:00,2.5
2022-04-13T06:00+02:00,2.4
2022-04-13T07:00+02:00,2.4
2022-04-13T08:00+02:00,2.3
2022-04-13T09:00+02:00,2.2
2022-04-13T10:00+02:00,2.4
2022-04-13T11:00+02:00,2.6
2022-04-13T12:00+02:00,2.6
2022-04-13T13:00+02:00,2.8
