Time,Load,Temperature,Day,Month,Hour,Day_of_week,Is_holiday
2021-05-20 11:00:00,66459.3,11.3,20,5,11,3,0
2021-07-23 01:00:00,45872.4,14.8,23,7,1,4,0
2021-11-20 18:00:00,63592.1,7.2,20,11,18,5,0
2021-05-13 05:00:00,42330.8,8.2,13,5,5,3,1
2021-07-03 22:00:00,46750.6,17.6,3,7,22,5,0
2021-05-01 06:00:00,39764.1,4.9,1,5,6,5,1
2021-10-28 14:00:00,66637.5,12.7,28,10,14,3,0
2021-05-05 06:00:00,59207.8,5.9,5,5,6,2,0
2021-05-29 14:00:00,51036.5,14.7,29,5,14,5,0
2021-01-23 08:00:00,54963.6,0.6,23,1,8,5,0
2021-10-21 08:00:00,72267.4,12.3,21,10,8,3,0
2021-11-06 06:00:00,49607.5,4.5,6,11,6,5,0
2021-04-28 23:00:00,54385.9,10.8,28,4,23,2,0
2021-07-22 09:00:00,63083.8,17.4,22,7,9,3,0
2021-05-27 12:00:00,68543.3,10.9,27,5,12,3,0
2021-09-27 00:00:00,43763.4,15.8,27,9,0,0,0
2021-11-09 15:00:00,68731.8,9.7,9,11,15,1,0
2021-01-18 22:00:00,64410.1,1.7,18,1,22,0,0
2021-11-13 07:00:00,52353.9,3.4,13,11,7,5,0
2021-12-18 03:00:00,48511.9,3.2,18,12,3,5,0
2021-12-09 16:00:00,73493.1,1.4,9,12,16,3,0
2021-12-14 05:00:00,55666.2,4.8,14,12,5,1,0
2021-02-25 09:00:00,68592.5,7.5,25,2,9,3,0
2021-04-08 20:00:00,65102.8,4.4,8,4,20,3,0
2021-08-19 08:00:00,62611.9,15.2,19,8,8,3,0
2021-03-17 15:00:00,68926.1,4.1,17,3,15,2,0
2021-10-28 17:00:00,64878.3,12.6,28,10,17,3,0
2021-05-13 00:00:00,47251.9,9.6,13,5,0,3,1
2021-09-17 12:00:00,66671.1,15.6,17,9,12,4,0
2021-05-19 22:00:00,56526.2,8.9,19,5,22,2,0
2021-01-14 09:00:00,73048.7,-0.3,14,1,9,3,0
2021-10-05 01:00:00,46471.1,10.4,5,10,1,1,0
2021-08-26 16:00:00,62666.8,16.0,26,8,16,3,0
2021-05-11 00:00:00,48282.7,14.1,11,5,0,1,0
2021-12-22 09:00:00,68959.8,-5.1,22,12,9,2,0
2021-04-08 08:00:00,68787.9,0.4,8,4,8,3,0
2021-12-20 12:00:00,69401.0,2.4,20,12,12,0,0
2021-08-06 05:00:00,45552.7,13.8,6,8,5,4,0
2021-02-17 18:00:00,72501.0,6.2,17,2,18,2,0
2021-11-06 14:00:00,57457.2,8.4,6,11,14,5,0
2021-08-20 02:00:00,43647.9,15.3,20,8,2,4,0
2021-05-09 08:00:00,46145.3,12.0,9,5,8,6,0
2021-06-15 19:00:00,62669.4,23.6,15,6,19,1,0
2021-04-20 11:00:00,69036.9,10.3,20,4,11,1,0
2021-06-23 12:00:00,67123.8,18.1,23,6,12,2,0
2021-05-07 03:00:00,47235.7,4.9,7,5,3,4,0
2021-05-12 10:00:00,65882.8,11.4,12,5,10,2,0
2021-06-25 00:00:00,47847.2,14.9,25,6,0,4,0
2021-08-25 07:00:00,58184.7,9.4,25,8,7,2,0
2021-04-04 19:00:00,48927.4,8.2,4,4,19,6,0
2021-05-27 13:00:00,68096.4,11.3,27,5,13,3,0
2021-06-02 09:00:00,63775.4,16.0,2,6,9,2,0
2021-06-25 22:00:00,52269.4,16.2,25,6,22,4,0
2021-04-06 01:00:00,48258.5,-1.2,6,4,1,1,0
2021-06-28 12:00:00,69225.4,25.2,28,6,12,0,0
2021-04-27 04:00:00,48669.3,1.3,27,4,4,1,0
2021-09-07 10:00:00,64669.1,16.6,7,9,10,1,0
2021-03-22 03:00:00,47341.4,1.6,22,3,3,0,0
2021-10-15 22:00:00,57772.4,7.3,15,10,22,4,0
2021-10-04 11:00:00,68189.9,12.7,4,10,11,0,0
2021-05-23 23:00:00,43928.7,8.6,23,5,23,6,0
2021-06-04 12:00:00,62007.0,22.3,4,6,12,4,0
2021-12-05 22:00:00,57043.1,0.8,5,12,22,6,0
2021-03-04 08:00:00,68298.5,3.8,4,3,8,3,0
2021-02-22 20:00:00,67047.6,7.4,22,2,20,0,0
2021-06-06 02:00:00,37617.9,15.2,6,6,2,6,0
2021-08-24 22:00:00,54011.9,13.3,24,8,22,1,0
2021-08-30 06:00:00,52612.5,13.6,30,8,6,0,0
2021-02-01 02:00:00,49547.4,-2.7,1,2,2,0,0
2021-07-12 17:00:00,64036.1,24.1,12,7,17,0,0
2021-11-08 14:00:00,69337.6,8.5,8,11,14,0,0
2021-03-23 10:00:00,69840.3,4.6,23,3,10,1,0
2021-01-05 14:00:00,69944.6,0.9,5,1,14,1,0
2021-11-08 06:00:00,58463.5,5.2,8,11,6,0,0
2021-07-22 03:00:00,43624.9,13.8,22,7,3,3,0
2021-12-07 14:00:00,74320.4,2.5,7,12,14,1,0
2021-03-30 08:00:00,66303.0,5.3,30,3,8,1,0
2021-05-02 15:00:00,49646.5,8.5,2,5,15,6,0
2021-07-24 06:00:00,42218.7,14.0,24,7,6,5,0
2021-06-16 16:00:00,64526.4,27.4,16,6,16,2,0
2021-09-22 06:00:00,54799.3,8.4,22,9,6,2,0
2021-10-06 11:00:00,69876.3,11.5,6,10,11,2,0
2021-01-15 11:00:00,73639.9,-1.7,15,1,11,4,0
2021-04-23 22:00:00,55225.5,6.7,23,4,22,4,0
2021-08-15 05:00:00,38156.1,14.7,15,8,5,6,0
2021-02-15 16:00:00,73238.8,0.1,15,2,16,0,0
2021-10-31 22:00:00,52965.0,11.6,31,10,22,6,0
2021-09-09 23:00:00,51076.5,17.6,9,9,23,3,0
2021-07-24 08:00:00,47865.6,17.2,24,7,8,5,0
2021-07-17 18:00:00,53165.9,23.0,17,7,18,5,0
2021-03-22 14:00:00,69718.5,5.7,22,3,14,0,0
2021-08-07 07:00:00,43013.7,13.7,7,8,7,5,0
2021-05-16 15:00:00,47807.8,13.9,16,5,15,6,0
2021-10-13 22:00:00,59883.8,6.6,13,10,22,2,0
2021-08-22 05:00:00,37261.8,15.4,22,8,5,6,0
2021-11-28 23:00:00,53625.4,0.2,28,11,23,6,0
2021-01-01 02:00:00,41598.4,0.4,1,1,2,4,1
2021-08-18 12:00:00,67609.6,16.0,18,8,12,2,0
2021-02-12 06:00:00,64026.9,-11.1,12,2,6,4,0
2021-10-23 21:00:00,52977.0,5.0,23,10,21,5,0
2021-01-26 21:00:00,67548.1,0.0,26,1,21,1,0
2021-08-21 22:00:00,45742.7,17.7,21,8,22,5,0
2021-12-11 19:00:00,64225.6,0.8,11,12,19,5,0
2021-08-24 04:00:00,44695.7,11.4,24,8,4,1,0
2021-01-03 20:00:00,56352.1,0.4,3,1,20,6,0
2021-05-12 14:00:00,64617.5,12.9,12,5,14,2,0
2021-10-20 08:00:00,69960.4,11.0,20,10,8,2,0
2021-03-17 07:00:00,65636.6,0.8,17,3,7,2,0
2021-12-04 16:00:00,62094.9,3.3,4,12,16,5,0
2021-03-10 01:00:00,51079.4,1.1,10,3,1,2,0
2021-08-12 23:00:00,49304.1,18.4,12,8,23,3,0
2021-12-14 00:00:00,54317.2,5.3,14,12,0,1,0
2021-06-02 23:00:00,52568.8,16.6,2,6,23,2,0
2021-04-05 12:00:00,57141.7,5.6,5,4,12,0,1
2021-07-11 21:00:00,48815.5,18.6,11,7,21,6,0
2021-10-02 15:00:00,51504.2,18.2,2,10,15,5,0
2021-06-13 22:00:00,48880.8,15.1,13,6,22,6,0
2021-09-28 03:00:00,45061.3,13.0,28,9,3,1,0
2021-04-20 03:00:00,49000.9,4.2,20,4,3,1,0
2021-12-23 19:00:00,66509.2,1.7,23,12,19,3,0
2021-05-27 20:00:00,60062.3,11.3,27,5,20,3,0
2021-07-03 17:00:00,51004.8,22.9,3,7,17,5,0
2021-12-04 05:00:00,51515.2,1.2,4,12,5,5,0
2021-04-16 00:00:00,54341.7,1.8,16,4,0,4,0
2021-02-07 11:00:00,61773.3,-1.6,7,2,11,6,0
2021-03-07 18:00:00,57889.7,4.1,7,3,18,6,0
2021-07-01 17:00:00,65374.8,16.0,1,7,17,3,0
2021-02-15 17:00:00,74079.5,-0.1,15,2,17,0,0
2021-04-24 18:00:00,52665.9,12.9,24,4,18,5,0
2021-05-25 11:00:00,66424.9,9.8,25,5,11,1,0
2021-05-15 19:00:00,51911.3,12.1,15,5,19,5,0
2021-03-03 10:00:00,69295.5,4.9,3,3,10,2,0
2021-10-12 11:00:00,71345.3,9.0,12,10,11,1,0
2021-01-17 18:00:00,62853.7,-1.6,17,1,18,6,0
2021-05-14 18:00:00,54391.2,13.7,14,5,18,4,0
2021-02-22 15:00:00,64805.7,13.1,22,2,15,0,0
2021-08-20 22:00:00,51438.0,15.5,20,8,22,4,0
2021-01-31 09:00:00,54711.4,-3.7,31,1,9,6,0
2021-12-28 08:00:00,56560.6,3.0,28,12,8,1,0
2021-02-27 10:00:00,57204.8,3.4,27,2,10,5,0
2021-04-14 11:00:00,70387.3,4.3,14,4,11,2,0
2021-10-21 22:00:00,60964.1,7.3,21,10,22,3,0
2021-03-06 10:00:00,59144.9,1.0,6,3,10,5,0
2021-12-19 16:00:00,58484.4,4.3,19,12,16,6,0
2021-03-12 09:00:00,71966.9,5.0,12,3,9,4,0
2021-06-28 15:00:00,67239.9,26.9,28,6,15,0,0
2021-04-16 19:00:00,64305.6,6.9,16,4,19,4,0
2021-02-18 19:00:00,73660.0,6.8,18,2,19,3,0
2021-08-29 18:00:00,51005.1,15.2,29,8,18,6,0
2021-04-18 02:00:00,41855.4,4.6,18,4,2,6,0
2021-06-25 18:00:00,59793.3,19.7,25,6,18,4,0
2021-02-25 17:00:00,63910.3,15.7,25,2,17,3,0
2021-08-17 11:00:00,67256.5,14.5,17,8,11,1,0
2021-09-01 06:00:00,53717.6,10.8,1,9,6,2,0
2021-01-04 17:00:00,71178.0,0.3,4,1,17,0,0
2021-06-17 20:00:00,63308.8,28.8,17,6,20,3,0
2021-11-23 12:00:00,72089.1,4.4,23,11,12,1,0
2021-06-22 10:00:00,67584.9,16.1,22,6,10,1,0
2021-06-03 02:00:00,45333.3,14.6,3,6,2,3,0
2021-10-26 08:00:00,69497.6,7.5,26,10,8,1,0
2021-06-18 23:00:00,54675.9,22.6,18,6,23,4,0
2021-06-11 12:00:00,66791.6,23.0,11,6,12,4,0
2021-09-08 10:00:00,65165.0,17.6,8,9,10,2,0
2021-05-26 10:00:00,68153.2,10.2,26,5,10,2,0
2021-04-28 18:00:00,62255.8,16.9,28,4,18,2,0
2021-05-06 20:00:00,62965.7,7.3,6,5,20,3,0
2021-01-10 04:00:00,45178.3,-2.3,10,1,4,6,0
2021-09-06 15:00:00,61962.0,22.8,6,9,15,0,0
2021-01-09 04:00:00,48751.0,-1.2,9,1,4,5,0
2021-09-08 07:00:00,59056.9,10.9,8,9,7,2,0
2021-03-10 09:00:00,70173.5,2.1,10,3,9,2,0
2021-04-04 07:00:00,40280.9,-0.2,4,4,7,6,0
2021-07-11 13:00:00,49763.6,20.2,11,7,13,6,0
2021-08-28 09:00:00,51982.6,12.8,28,8,9,5,0
2021-10-11 09:00:00,67444.7,5.2,11,10,9,0,0
2021-06-01 15:00:00,61562.1,21.3,1,6,15,1,0
2021-08-06 00:00:00,45552.9,14.8,6,8,0,4,0
2021-11-19 06:00:00,59107.6,6.8,19,11,6,4,0
2021-04-03 07:00:00,44991.6,2.3,3,4,7,5,0
2021-08-11 14:00:00,61655.9,22.5,11,8,14,2,0
2021-12-03 06:00:00,65232.2,-1.1,3,12,6,4,0
